========================================
Critical Point Analysis (DIM=3)
========================================

p_c values from each run:
Run 1: 0.575758
Run 2: 0.555556
Run 3: 0.585859
Run 4: 0.585859
Run 5: 0.555556
Run 6: 0.565657
Run 7: 0.575758
Run 8: 0.575758
Run 9: 0.575758
Run 10: 0.575758
Run 11: 0.565657
Run 12: 0.555556
Run 13: 0.575758
Run 14: 0.565657
Run 15: 0.575758
Run 16: 0.555556
Run 17: 0.545455
Run 18: 0.555556
Run 19: 0.575758
Run 20: 0.535354
Run 21: 0.525253
Run 22: 0.606061
Run 23: 0.555556
Run 24: 0.565657
Run 25: 0.575758
Run 26: 0.575758
Run 27: 0.555556
Run 28: 0.565657
Run 29: 0.565657
Run 30: 0.555556
Run 31: 0.555556
Run 32: 0.565657
Run 33: 0.555556
Run 34: 0.585859
Run 35: 0.565657
Run 36: 0.575758
Run 37: 0.555556
Run 38: 0.585859
Run 39: 0.565657
Run 40: 0.575758
Run 41: 0.505051
Run 42: 0.575758
Run 43: 0.565657
Run 44: 0.555556
Run 45: 0.585859
Run 46: 0.565657
Run 47: 0.555556
Run 48: 0.575758
Run 49: 0.545455
Run 50: 0.555556

Average p_c: 0.565051
Standard deviation: 0.016463

========================================
Test Performance Metrics (DIM=3)
========================================

System: 3^2, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
 24 | 0.8600 | 0.7035 | 0.0169
 25 | 0.9700 | 0.9054 | 0.1118
 26 | 0.9100 | 0.9238 | 0.1834
 27 | 0.9000 | 0.9346 | 0.2966
 28 | 0.9300 | 0.7903 | 0.0290
 29 | 0.9500 | 0.8365 | 0.0396
 30 | 0.6200 | 0.4130 | 0.0029
 31 | 0.9000 | 0.7269 | 0.0369
 32 | 0.8100 | 0.6793 | 0.0079
 33 | 0.9300 | 0.8851 | 0.1079
 34 | 0.9300 | 0.8585 | 0.2337
 35 | 0.9200 | 0.8474 | 0.0633
 36 | 0.9700 | 0.9202 | 0.0821
 37 | 0.9800 | 0.9008 | 0.0416
 38 | 0.6800 | 0.4346 | 0.0013
 39 | 0.8900 | 0.9632 | 0.2881
 40 | 0.9000 | 0.8137 | 0.0135
 41 | 0.8900 | 0.8661 | 0.2324
 42 | 0.9200 | 0.8614 | 0.0819
 43 | 0.9000 | 0.7823 | 0.0350
 44 | 0.9200 | 0.8681 | 0.0393
 45 | 0.9000 | 0.8248 | 0.0129
 46 | 0.9100 | 0.8323 | 0.0547
 47 | 0.9300 | 0.9417 | 0.1691
 48 | 0.8700 | 0.9802 | 0.2785
 49 | 0.8600 | 0.7313 | 0.0169
 50 | 0.8700 | 0.9563 | 0.2931

Summary Statistics:
Accuracy: 0.8916 ± 0.0714
Avg Perc: 0.8497 ± 0.1182
Avg Non-Perc: 0.1438 ± 0.1393
==================================================

System: 3^5, p-range: 0.55-0.65
--------------------------------------------------
Run | Accuracy | Avg Perc | Avg Non-Perc
----|----------|----------|------------
  1 | 0.9800 | 0.9552 | 0.0495
  2 | 0.7700 | 0.9845 | 0.5236
  3 | 0.9900 | 0.9536 | 0.0065
  4 | 0.7800 | 0.9834 | 0.5554
  5 | 0.9000 | 0.9748 | 0.2351
  6 | 0.9300 | 0.8382 | 0.0029
  7 | 0.9400 | 0.9684 | 0.1106
  8 | 0.7000 | 0.9799 | 0.6143
  9 | 0.9600 | 0.9816 | 0.0932
 10 | 0.9900 | 0.9724 | 0.0720
 11 | 0.9600 | 0.9500 | 0.0724
 12 | 0.8400 | 0.9842 | 0.3688
 13 | 0.9500 | 0.9660 | 0.1108
 14 | 0.8900 | 0.7673 | 0.0003
 15 | 0.8100 | 0.6603 | 0.0001
 16 | 0.9500 | 0.8618 | 0.0006
 17 | 0.8600 | 0.9709 | 0.3010
 18 | 0.9800 | 0.8991 | 0.0249
 19 | 0.9500 | 0.9824 | 0.1218
